地名,数值,X,Y
慈利,689,111.12171,29.42634
石门,727,111.37361,29.58854
靖港,,112.78163,28.46236
大荆驿,18760,113.26285,28.96238
云谿驿,,113.23333,29.5
港口驿,18613,113.70691,29.53064
凤山驿,,113.78333,29.63333
始兴,278,114.06315,24.94576
宁远,741,111.93868,25.59845
江华,740,111.5812,25.18827
永明,739,111.33645,25.27697
萍乡,814,113.83864,27.63142
醴陵,720,113.4941,27.66852
株洲,18838,113.15001,27.85256
犁步头,,113.51667,24.9
乐昌,269,113.34679,25.13487
马霸,,113.58334,24.68333
乌石,,113.58702,24.56922
沙口,,113.53175,24.41668
河头,,113.45217,24.26414
翁源,275,113.82032,24.37514
龙归墟,,113.46286,24.71791
乳源,273,113.269,24.784
沙河,16978,112.88917,23.98898
白石潭,,112.75963,24.12674
社步墟,127321,112.66204,24.32895
水口,16904,112.71365,24.39619
阳山,271,112.63827,24.48501
连州,9544,112.37812,24.7797
三江,16895,112.283,24.719
三洲,17112,112.848,22.889
高明,311,112.69559,22.86234
四会,291,112.69453,23.34871
广宁,290,112.43132,23.64274
怀集驿,425,112.17924,23.91219
校椅,155200,109.23946,22.83549
钦州,320,108.6144,21.95143
遂溪,322,110.25089,21.38298
城月,127093,110.07483,21.17492
洋菁,127090,110.11496,21.36642
海康,328,110.08791,20.90196
英利驿,17252,110.08394,20.56885
徐闻,344,110.16278,20.32968
石城,325,110.27356,21.5936
陵水驿,1784,110.62531,21.65403
南盛,126930,110.70665,21.73175
石鼓,126929,110.76403,21.83073
高州,9554,110.85381,21.91921
梧州,9565,111.30857,23.4869
昭潭驿,386,110.80361,24.16912
崧台驿,9547,112.45316,23.05692
汕头,17055,116.68288,23.36396
菴埠,125854,116.6849,23.4515
彩塘市,125859,116.65552,23.50681
龙湖,125858,116.64672,23.55527
浮阳,125860,116.60291,23.58144
凤城驿,9551,116.63666,23.66771
馏隍,17053,116.458,23.914
新渡,,116.52325,24.09502
嘉应,9546,116.1105,24.31578
程江驿,125874,116.63282,24.18622
三河灞,16951,116.56304,24.39469
大埔,284,116.68544,24.51775
七都驿,125969,115.97683,24.04063
兴宁驿,282,115.72735,24.13869
