ID,vol,author,add1,x,y,,
840,,汪一麟,休寧,118.17577,29.78119,,
841,,唐時措,上海,121.48676,31.22443,,
843,,宋眉年,永嘉,120.65322,28.01829,,
847,,吳亮,錢塘,120.16862,30.29412,,
850,,劉源,孟州,112.7828,34.90318,,
852,,喬醴,河東,110.33231,34.83513,,
853,,潘昂霄,濟南,117,36.65,,
859,,段思誠,稷山,110.97883,35.60216,,
860,,張士元,山陰,112.94273,39.44044,,
861,,賈銘,海昌,120.69,30.53,,
862,,王去疾,金壇,119.57062,31.74698,,
863,,俞庸,丹徒,119.44429,32.20649,,
864,,羅璧,平江,113.57494,28.70981,,
866,,釋法洪,成州,114.22922,39.43774,,
867,,曾德裕,永豐,118.19136,28.43847,,
868,,史惟良,鄆城,115.93501,35.60506,,
869,,揭傒斯,富州,105.8504,23.64806,,
870,,王壽衍,杭州,120.16862,30.29412,,
871,,虞槃,崇仁,116.06158,27.75564,,
872,,劉德智,歙縣,118.43394,29.86577,,
873,,釋永盛,樂平,113.6968,37.60836,,
874,,李源道,亳州,115.7709,33.87929,,
876,,馮魯山,永新,114.23687,26.94556,,
877,,鄭謐,金華,119.64992,29.10471,,
878,,吳直方,浦江,119.88368,29.45871,,
879,,林定老,麗水,119.91301,28.44873,,
880,,王好古,趙州,114.77218,37.75293,,
882,,黄溍,義烏,120.07162,29.30009,,
885,,楊仁風,潞州,113.10349,36.18354,,
886,,滕賓,睢陽,115.64607,34.44766,,
888,,王德淵,永年,114.72307,36.70103,,
889,,杜思敬,西河,111.77903,37.2634,,
890,,朱熲,中牟,114.02625,34.73209,,
891,,王國賓,榆社,112.96366,37.07094,,
893,,楊景道,雲陽,108.8915,30.96685,,
900,,張汝明,咸寧,108.93719,34.31799,,
907,,趙子元,雲南,100.55898,25.47909,,
912,,黄翔龍,明州,121.54266,29.86632,,
916,,戴侗,永嘉,120.65322,28.01829,,
917,,方樗,浦江,119.88368,29.45871,,
920,,宋革,邱縣,115.15681,36.71392,,
921,,何瑋,易縣,115.49348,39.34904,,
922,,張良金,邕州,108.31207,22.80614,,
925,,朱文魁,金華,119.64992,29.10471,,
929,,高純厚,臨邛,103.45682,30.41659,,
930,,宫珪,許州,113.81975,34.03139,,
931,,偰哲篤,高昌,89.5878,42.7987,,
933,,楊如山,蜀郡,104.078,30.65038,,
935,,翁傳心,慈溪,121.4442,29.9792,,
937,,鍾嗣成,大梁,114.35,34.79,,
938,,王之綱,湯陰,114.35,35.92,,
939,,蘇塏,眉山,103.83146,30.0505,,
941,,劉居萬,定襄,112.94377,38.49269,,
942,,段輔,河中,110.42,34.88,,
